SYMBOL,dataset_corr_count
BHMG1,1
BICC1,2
BICD1,1
BICD2,1
BICDL1,1
BICRA,2
BICRAL,2
BID,1
BIK,2
BIN1,2
BIN2,1
BIN3,2
BIRC2,1
BIRC3,1
BIRC5,1
BIRC6,1
BIRC6-AS2,1
BISPR,2
BIVM,3
BIVM-ERCC5,1
BLK,1
BLM,1
BLMH,2
BLOC1S1-RDH5,1
BLOC1S2,1
BLOC1S3,1
BLOC1S4,1
BLOC1S5,1
BLOC1S6,2
BLVRA,3
BLVRB,3
BMERB1,1
BMF,2
BMI1,1
BMP1,2
BMP10,1
BMP2K,1
BMP4,1
BMP5,1
BMP7,1
BMPER,1
BMPR1A,1
BMPR1B,1
BMPR1B-DT,1
BMPR2,2
BMS1,2
BMS1P14,1
BMS1P2-AGAP9,1
BMS1P20,1
BMT2,2
BMX,1
BNC2,1
BNC2-AS1,1
BNIP1,1
BNIP2,2
BNIP3,1
BNIP3L,1
BNIP5,1
BOC,3
BOK-AS1,1
BOLA1,1
BOLA2-SMG1P6,2
BOLA3-AS1,1
BOP1,2
BORA,1
BORCS5,2
BORCS7,1
BORCS8-MEF2B,1
BPGM,1
BPHL,1
BPI,1
BPTF,1
BPY2,1
BRAF,1
BRCA1,1
BRCA2,1
BRCC3,1
BRD1,1
BRD2,3
BRD3,2
BRD3OS,1
BRD4,2
BRD7,2
BRD7P3,1
BRD9,1
BRDTP1,1
BRF1,2
BRF2,2
BRI3,3
BRINP1,1
BRINP2,1
BRIP1,1
BRK1,1
BRMS1L,1
BRPF1,1
BRPF3,2
BRSK1,1
BRSK2,1
BRWD1,1
BRWD3,1
BSCL2,1
BSDC1,1
BSG,1
BSN-DT,2
BST1,1
BTAF1,2
BTBD1,1
BTBD10,1
BTBD11,1
BTBD16,1
BTBD18,1
BTBD19,1
BTBD2,2
BTBD3,1
BTBD7,1
BTBD9,1
BTBD9-AS1,1
BTC,1
BTD,2
BTF3,1
BTF3L4,1
BTG2,1
BTG3,2
BTG3-AS1,2
BTN2A1,1
BTN2A2,1
BTN2A3P,1
BTN3A1,1
BTN3A2,1
BTN3A3,1
BTNL10,1
BUB1B,1
BUB3,1
BUD13,1
BUD23,2
BVES,1
BYSL,2
BZW1,2
BZW1-AS1,2
BZW2,1
C10orf105,2
C10orf126,1
C10orf143,1
C10orf25,1
C10orf88,1
C10orf91,2
C11orf1,2
C11orf24,2
C11orf44,1
C11orf58,2
C11orf65,1
C11orf68,1
C11orf72,2
C11orf74,2
C11orf80,1
C11orf86,2
C11orf87,1
C11orf91,1
C11orf95,1
C11orf96,1
C12orf10,1
C12orf29,2
C12orf43,2
C12orf45,1
C12orf56,1
C12orf60,2
C12orf65,1
C12orf66,2
C12orf74,2
C12orf75,2
C12orf76,1
C12orf80,1
C13orf42,1
C13orf46,1
C14orf132,3
C14orf28,1
C14orf39,2
C15orf39,2
C15orf40,2
C15orf41,1
C15orf54,3
C15orf62,1
C16orf70,2
C16orf72,2
C16orf74,1
C16orf82,1
C16orf86,1
C16orf87,1
C16orf95,2
C16orf97,1
C17orf100,1
C17orf107,1
C17orf112,1
C17orf58,2
C17orf64,1
C17orf67,1
C17orf75,2
C17orf80,3
C17orf82,1
C17orf99,1
C18orf25,3
C19orf12,1
C19orf25,3
C19orf33,1
C19orf47,1
C19orf48,1
C19orf53,1
C19orf54,1
C19orf57,1
C19orf67,1
C19orf73,1
C19orf81,1
C19orf84,1
C1D,1
C1GALT1,1
C1GALT1C1,1
C1orf100,1
C1orf109,2
C1orf112,1
C1orf115,1
C1orf116,1
C1orf122,1
C1orf127,1
C1orf131,2
C1orf143,2
C1orf159,2
C1orf162,1
C1orf167,1
C1orf174,1
C1orf185,1
C1orf195,1
C1orf198,2
C1orf21,1
C1orf210,1
C1orf216,2
C1orf220,2
C1orf229,1
C1orf35,1
C1orf52,1
C1orf53,3
C1orf54,1
C1orf61,1
C1orf74,2
C1orf87,1
C1orf94,1
C1QBP,1
C1QTNF12,2
C1QTNF3,1
C1QTNF6,1
C1QTNF7,1
C1QTNF7-AS1,2
C1QTNF8,1
C1R,2
C1RL,2
C1RL-AS1,1
C1S,1
C2,1
C20orf187,1
C20orf194,1
C20orf203,1
C20orf204,1
C20orf27,2
C20orf85,1
C21orf58,1
C21orf59-TCP10L,1
C21orf62-AS1,1
C21orf91,1
C21orf91-OT1,2
C22orf24,1
C22orf34,1
C22orf39,1
C22orf42,2
C22orf46,1
C2CD2,2
C2CD3,2
C2CD4B,1
C2CD5,1
C2CD6,1
C2orf15,1
C2orf16,1
C2orf27A,1
C2orf42,1
C2orf49,1
C2orf66,1
C2orf73,1
C2orf76,1
C2orf88,1
C2orf91,1
C3orf14,1
C3orf33,2
C3orf38,2
C3orf49,1
C3orf52,2
C3orf62,2
C3orf67,2
C3orf70,2
C3orf79,2
C3orf86,2
C4BPA,1
C4orf19,1
C4orf3,1
C4orf33,1
C4orf36,1
C4orf45,1
C4orf46,2
C4orf51,1
C4orf54,1
C5AR1,1
C5orf24,1
C5orf30,2
C5orf34,2
C5orf46,1
C5orf47,2
C5orf51,2
C5orf52,1
C5orf58,1
C5orf63,1
C5orf64,3
C5orf66,1
C5orf66-AS2,1
C6,1
C6orf132,1
C6orf141,1
C6orf15,1
C6orf201,1
C6orf223,1
C6orf226,3
C6orf47,1
C6orf52,1
C6orf62,2
C6orf89,1
C6orf99,1
C7orf25,2
C7orf26,1
C7orf31,1
C7orf50,2
C7orf61,1
C7orf65,1
C7orf69,1
C7orf77,1
C8orf31,1
C8orf33,1
C8orf34,1
C8orf34-AS1,1
C8orf37,1
C8orf37-AS1,1
C8orf44-SGK3,1
C8orf49,1
C8orf58,2
C8orf74,1
C8orf76,2
C8orf82,1
C8orf86,1
C8orf87,1
C8orf88,2
C8orf89,1
C9,1
C9orf106,1
C9orf116,2
C9orf131,1
C9orf135,1
C9orf147,1
C9orf152,1
C9orf16,1
C9orf163,1
C9orf170,2
C9orf40,1
C9orf43,1
C9orf64,2
C9orf72,2
C9orf92,2
CA10,1
CA11,1
CA12,1
CA13,2
CA14,1
CA3-AS1,1
CA4,1
CA5A,1
CA5B,1
CA5BP1,1
CA6,1
CA8,1
CAAP1,1
CAB39,2
CAB39L,1
CABCOCO1,1
CABIN1,2
CABLES1,1
CABLES2,4
CABYR,2
CACHD1,1
CACNA1A,1
CACNA1C,1
CACNA1C-AS1,1
CACNA1C-AS4,1
CACNA1C-IT3,1
CACNA1D,1
CACNA1E,1
CACNA2D1,2
CACNA2D2,1
CACNA2D3,1
CACNA2D3-AS1,1
CACNA2D4,1
CACNB2,1
CACNB4,1
CACNG2,1
CACNG4,1
CACNG6,1
CACUL1,1
CACYBP,2
CAD,1
CADM1,1
CADPS,2
CADPS2,2
CAGE1,1
CALCOCO1,1
CALCOCO2,2
CALCRL,1
CALD1,1
CALHM4,1
CALHM5,1
CALM1,2
CALM2,2
CALML3-AS1,2
CALML4,1
CALML5,1
CALML6,1
CALR,1
CALR3,3
CALU,1
CAMK1D,4
CAMK2B,2
CAMK2D,1
CAMK2G,2
CAMK2N1,1
CAMKK1,1
CAMKK2,1
CAMKMT,1
CAMLG,1
CAMP,1
CAMSAP1,2
CAMSAP2,1
CAMTA1,2
CAMTA1-AS2,2
CAMTA1-DT,3
CAMTA2,1
CAND1,1
CAND1.11,1
CAND2,2
CANT1,1
CANX,1
CAP1,1
CAP2,1
CAPG,1
CAPN1,1
CAPN10-DT,1
CAPN11,1
CAPN13,1
CAPN2,2
CAPN5,1
CAPN7,1
CAPN8,2
CAPN9,1
CAPNS1,2
CAPNS2,1
CAPRIN1,2
CAPRIN2,1
CAPS,1
CAPS2,3
CAPSL,1
CAPZA2,1
CAPZA3,1
CAPZB,1
CARD10,1
CARD11,1
CARD14,1
CARD18,1
CARD19,2
CARD6,1
CARD8,4
CARD9,1
CARF,2
CARM1,1
CARMIL1,1
CARMN,1
CARNMT1,1
CARNMT1-AS1,1
CARS1,2
CARS2,1
CARTPT,1
CASC1,1
CASC11,2
CASC15,1
CASC16,1
CASC17,1
CASC18,2
CASC19,1
CASC2,1
CASC20,1
CASC21,1
CASC4,2
CASC6,1
CASC8,1
CASK,1
CASP1,2
CASP10,1
CASP12,2
CASP16P,2
CASP2,1
CASP4,1
CASP7,1
CASP8,2
CASP8AP2,1
CASP9,2
